division,prop1,prop2,diff_prop,stderr_prop1,stderr_prop2,stderr_diff_prop,diff_prop_lwr,diff_prop_upr
New England,.87571597,.85791492,.017801046,.025872415,.01750792,.021756651,-.024841988,.060444083
Middle Atlantic,.89337802,.91287619,-.019498169,.027980462,.030495012,.03642644,-.090893991,.051897649
East North Central,.86251801,.86210293,.00041508675,.012698928,.023319891,.027275875,-.05304563,.053875804
West North Central,.88004982,.8032515,.07679832,.017195551,.045069207,.051694039,-.024521997,.17811863
South Atlantic,.85297287,.82040966,.03256321,.01360163,.029397454,.034678649,-.035406947,.10053337
East South Central,.78360724,.69025964,.093347609,.03989175,.028206374,.054745324,-.013953222,.20064844
West South Central,.81605053,.76502746,.051023066,.026521992,.02234379,.037749231,-.022965429,.12501156
Mountain North,.87422138,.81926268,.054958701,.027718361,.041355405,.059644978,-.061945457,.17186286
Mountain South,.85266036,.66749054,.18516982,.020127594,.043309916,.057779726,.07192155,.29841807
Pacific,.88710916,.85278594,.034323215,.012946719,.039992649,.040513229,-.045082714,.11372914
