night_temp_est,night_lower,night_upper,home_temp_est,home_lower,home_upper,gone_temp_est,gone_lower,gone_upper,division_name
65.671957991,64.882271599,66.461644382,68.180107712,67.307741138,69.052474286,64.610188668,64.016255595,65.20412174,New_England
67.303423368,66.831226752,67.775619984,69.207601693,68.822650065,69.592553321,66.488012879,66.022587959,66.953437798,Middle_Atlantic
67.932677267,67.559950173,68.30540436,69.703463439,69.357660051,70.049266826,66.83602671,66.547305623,67.124747798,East_North_Central
68.067974799,67.585243731,68.550705868,69.634451694,69.224047934,70.044855454,67.178921389,66.605414263,67.752428515,West_North_Central
69.198682168,68.77466161,69.622702727,70.64660764,70.356491947,70.936723332,68.546976157,68.159032235,68.934920079,South_Atlantic
69.307722775,68.759287458,69.856158091,70.628398567,70.18733737,71.069459765,68.139873847,67.449074393,68.830673301,East_South_Central
69.861102407,69.503993428,70.218211385,71.294284328,70.887297334,71.701271321,68.267258422,67.422798805,69.111718038,West_South_Central
66.807758946,65.726359116,67.889158777,69.249815901,68.5953758,69.904256002,65.930505464,65.359156776,66.501854152,Mountain_North
68.881581403,66.748259432,71.014903373,70.828766849,69.89127652,71.766257179,67.41744208,65.78797694,69.04690722,Mountain_South
66.543762971,66.042404118,67.045121824,69.759334406,69.325157965,70.193510847,65.340390845,64.987686617,65.693095072,Pacific
